ID,System/Slice,Item,What parity requires,Current Everkai status,Source of truth,Numbers-or-Flow,Effort,Priority,Sprint,Status,Notes/Evidence
ECON-12,Economy,claimMuseum / claimKeepsake are free,Tie keepsakes to the inn VIP-guest path and delete claimMuseum,"ALREADY GATED. claimMuseum and claimKeepsake both require a completed daily habit and are one-per-day via s.museumDay, exactly like s.supplyDay and w.restockDay.","Exhibit.json connectType — 11 of 137 exhibits are VIPGuestGift, the other 126 None; Collection_24 appears in 4 Rewards.json rows",Mixed,S,P2,6,Verified - no work needed,"RE-MEASURED 2026-09-15; this row was STALE. lib/museum.mjs:25-33 and :40-47 both check habitEarnings(s.habits,s.lastAt).dailies<1 and s.museumDay===habitDay(s.lastAt) before granting a single keepsake -- the ""collects all 31 in one click"" behaviour this row describes was replaced some time ago and the code even carries the comment recording it. tests/daily-supply-claims.test.mjs already covered the one-per-day half; this slice added the missing half, asserting that both actions refuse with ""Complete a daily habit"" on a save with no habit completed. The proposed VIP-guest mapping is NOT needed and is dropped: measured against Exhibit.json, all 32 shipped keepsakes carry unlockType Item with an unlockKey naming a limited-time crossover milestone item (Maidragon_4, DemonSlayer_13, Konosuba_10, GveKingArthur_01_5 ...), and only 11 of the whole 137-row exhibit set are connectType VIPGuestGift -- none of them among Everkai's 32. So the original charges no currency for a keepsake; it gates it behind event participation, and Everkai's daily-habit gate is the single-player adaptation of that same earned-and-rate-limited shape. Count corrected to 32 per BUG-09."
ECON-13,Economy,claimExpoStall is free,Charge buildCoin and gate on unlockLevel,"CLOSED. claimExpoStall costs one build permit: one at the start plus one per cleared business day, so at most 6 of the 35 stalls instead of all 35 free.","ESCRebornLevel.json buildCoin = 1 at each of levels 1-12 of ESCReborn_01 (0 at 13-15); ESCRebornEvent_BoothNormal.json unlockLevel = 1 for all four booths of that activity, so the gate is the coin, not the level",Numbers,S,P3,5,Fixed 2026-09-15,"[FIXED] lib/expo.mjs expoPermits + claimExpoStall. Read the real rows: ESCRebornLevel.json is a dict wrapping a 195-row list, 15 rows per activity; ESCReborn_01 grants buildCoin 1 per level for levels 1-12. Everkai runs 5 business days rather than 15 event levels, so a cleared day is the level analogue -- 1 starting permit + 1 per clear. Deadlock-checked against lib/expo-data.json: stage 1 and 2 need 1 stall slot and stages 3-5 need 2, so the starting permit always opens the event. Deliberately NOT asserted in validExpo: real saves already hold stalls claimed free under the old rule and a validator would refuse to decode them, so the gate lives on the action only. Guard: tests/expo.test.mjs, negative-controlled -- deleting the permit check fails with 'a stall with no build permit left must be refused'. | [NOT RE-VERIFIED] "
ECON-14,Economy,finishFarm / finishWorkshop are free time-skips,"Delete, or charge crystals per skipped minute","FREE. Measured: a plot's readyAt-lastAt was 180,000 ms; finishFarm(0) set it to 0 for 0 gold and harvest immediately succeeded. Repeatable.","No speed-up/diamond-skip table exists in the private-server set; plant durations live in SimGame3Plant.json (time, FinalTime)",Flow (price is a local choice),S,P2,4,Not started,"[NOT RE-VERIFIED] A DISTINCT FAUCET SHAPE the faucet map never considers: not a grant, a timer bypass. finishWorkshop is the same shape in code but read, not run."
ECON-15,Economy,sandboxSupplies refills Energy and grants 10 of each gift,Delete — both halves already have real paths,"CLOSED. sandboxSupplies is deleted from lib/game.mjs and its button removed from app/page.tsx. Unknown actions throw, so a stale dispatch is loud.",buyGift prices (local),n/a,S,P2,3,Fixed 2026-09-15 - deleted,"[FIXED, deleted not gated] Both halves already had metered paths -- Energy accrues in settle() against energyCap, gifts are bought with buyGift at 100/200/100/200/500 gold -- so the grant was a duplicate faucet. The two assertions that were ABOUT the grant were rewritten onto buyGift, the priced door that survives, so the gift-accounting invariants they protected are still asserted: family.test.mjs now checks buying is not gifting and claims no milestone, bonds.test.mjs now checks a gift purchase leaves every equipment and training item untouched. Both also assert.throws(/Unknown action/) on sandboxSupplies. Negative-controlled: restoring the action to lib/game.mjs fails with 'the free refill is gone, not merely hidden'. ONE-LINE CHANGE TO lib/game.mjs (the action body, replaced by a comment); app/page.tsx lost only the button. | [NOT RE-VERIFIED] DELETABLE BUT NEEDS CARE: two assertions are ABOUT the grant rather than using it as a fixture — family.test.mjs:9 checks the grant does not count as gifting, bonds.test.mjs:7 checks it touches only gift ids. Rewriting those is gift-accounting work, not a mechanical swap. app/page.tsx dispatches it."
ECON-16,Economy,expandSchool is free,Gate or price the seat expansion,"CLOSED. expandSchool requires 3 graduates and refuses once the seats are open; it was a free, repeatable button that just set seats to 5.","No original price exists -- confirmed against the full 1,499-table set, not the 51-file subset. HeroEducateLevel.json (12 rows) is the hero-TEMPERING table (System.json HeroEducateConsumeNomal/High = Item_Quenching_Hero_1/2), not school capacity. Threshold is the existing STARTING_SEATS constant, not an invented number.","Flow (local gate, disclosed)",S,P3,6,Fixed 2026-09-15,"[FIXED as a GATE, not a price] lib/education.mjs. Two extra seats now open once a full starting cohort has actually graduated (s.school.graduates >= STARTING_SEATS, 3) and cannot be re-opened. STARTING_SEATS/EXPANDED_SEATS are spelled in education.mjs rather than imported from school.mjs (which holds the same 3 as MAX_PUPILS): school.mjs already imports education.mjs, and importing back closed the cycle and left SCHOOL_TYPES in its temporal dead zone -- that broke every test in the suite at load until it was unwound. Guard: tests/education.test.mjs, negative-controlled -- deleting the graduate check fails with 'seats must be refused before a starting cohort has graduated'. | [NOT RE-VERIFIED] "
ECON-17,Economy,developInnRecipe is free,Gate on the original recipe acquisition (management-target tasks),FREE — adds a menu recipe. The gated twin openingRecipe exists (staff count + preFood).,"SimGame1Food.json unlockConsume (item id 3 = gold, Item.json row 3), all 80 rows",Flow,S,P2,4,Fixed 2026-09-15,"FIXED 2026-09-15 -- and NOT dropped: the original DOES charge. The management-task route this row was filed against (rule SimGame1_5, ""Complete management target tasks to obtain recipes"") is a SECOND, separate route; rule SimGame1_6 is the develop route, and SimGame1Food.unlockConsume is its price. MEASURED across all 80 rows of SimGame1Food: unlockConsume is {id:""3"",count:N} on every single one, item id 3 being gold per Item.json row 3 (isCurrency true, Icon_Gold_Big). N runs 500 (dish 1) -> 4,000 -> 24,000 -> ... -> 368,640,000,000 (dish 80). POSITIVE CONTROL for the five zeros: exactly 5 dishes cost 0 -- 30, 45, 54, 56, 57 -- and that set is exactly the guest-gated set already recorded independently in lib/inn-data.json (station ""__guest__""), so those zeros are a measured price and not a missing row. The other 75 all carry a price. The same pass cross-checked SimGame1Food.unlockCondition {id,level} against lib/inn-data.json dishes[].station/level: 75 of 75 agree, ZERO mismatches. developInnRecipe now charges innRecipeGold and refuses with ""More gold needed to develop this recipe.""; the panel shows the price instead of ""Free"". unlockTime is 1 on all 80 rows -- a placeholder, so no development timer was invented from it (CLAUDE.md rule 6). NOT COVERED BY THIS ROW: lib/opening.mjs openingRecipe, the gated twin, still adds a recipe free; it is outside this slice's edit scope and needs its own row. tests/inn-economy.test.mjs pins three prices by hand and the free-set; negative-controlled by zeroing dish 40 and confirming the free-set assertion catches it. | PRIOR: [NOT RE-VERIFIED] C7 records that management-task recipe acquisition is the missing original route."
ECON-18,Economy,wardrobeCollect is free,Consume costume chips,STILL FREE. Deliberately left free this pass; see the deferral reason.,WifeClothes.json consume = Item_ClothesChip_<id> x1 plus unlockIntimacy 300/500; 783 reward rows grant chips,Numbers,S,P3,3,Deferred 2026-09-15 - no chip faucet exists to charge against,"[DEFERRED, reason stated] WifeClothes.json is real and readable (111 rows; W51C1 consume = {id: Item_ClothesChip_W51C1, count: 1}, unlockIntimacy 300). But Everkai's own lib/wardrobe-data.json carries 258 costumes and ZERO of them record an unlockIntimacy or a chip id, and no chip faucet is imported (the 783 reward rows that grant chips are not in the game). Charging today would strand all 258 costumes with no path to any of them -- strictly worse than a free faucet that grants nothing measurable, since costumes are still cosmetic (module states no stat bonuses; F9/F21). Closing this is a data-import job on wardrobe-data.json plus a chip source, not a price change. Becomes P1 if costume skills are ever adopted. | [NOT RE-VERIFIED] Low priority while costumes remain cosmetic (F9/F21). Becomes P1 if costume skills are ever adopted."
ECON-19,Economy,claimCrownKohaku is free,unknown,"FREE one-time Gold Crown Kohaku plus its aptitude effect - and the original gives it away free too, as a one-time event completion item.",Item.json Item_Fish_F9402_Crown (useLimit 1); split_reward/reward_pictureguess.json Reward_PictureGuess_01_finish_07; GeneralActivity.json PictureGuess_01/02,Numbers,S,P3,4,Dropped 2026-09-15 - the original does not charge,"MEASURED 2026-09-15 across the full 1499-table config set. Item_Fish_F9402_Crown is a bag item with useLimit 1 and useEffect fish {fishid F9402, isCrown 1}. It appears in exactly three non-translation tables: Item.json (its own row), split_reward/reward_pictureguess.json as Reward_PictureGuess_01_finish_07 (randomType Fix, count 1), and GeneralActivity.json as the coreReward of the PictureGuess_01 and PictureGuess_02 limited-time activities (openType 1, defaultFinishHour 24, duration 12). That grep is its own positive control: it returned three real hits rather than none. So there is NO price, NO currency and NO daily allowance anywhere in the original -- it is a free one-time completion reward for an event. Everkai's claimCrownKohaku is already one-time (it refuses with ""This guaranteed crown claim is already saved"") and free, which is faithful in kind; the only divergence is that Everkai has no limited-time event to hang it on, and events are deliberately behind permanent systems in the current priority. Gating it behind a daily habit would be LESS faithful than leaving it. Also note it lives in lib/fishing.mjs, outside this slice's edit boundary, so no code changed."
ECON-20,Economy,Graduation bonds and bond assignment are free,unknown,"MEASURED. bondAssign and bondAffinity grant NOTHING -- they only select which Fellow a family bond points at. The only thing that pays is the bond LEVEL, and bondTrain already charges bondCost(level) = 20*(level+1) Blessing Points. activateGraduationBond(s) does still grant a free +10% (increment 5) earnings bonus.","lib/bonds.mjs bondCost/bondTrain (measured, this slice); HeroBond.json / HeroBondCondition.json for the original's unlock shape",Flow,S,P3,6,Deferred 2026-09-15 - two thirds was a false finding; the remaining half needs an owner call,"[PART FALSE FINDING, remainder DEFERRED with a reason] Measured lib/bonds.mjs directly: bondAssign sets b.fellow, bondAffinity sets b.original -- neither grants a bonus, and bondFactor only pays on b.level, which bondTrain charges 20*(level+1) Blessing Points for and caps at 10. So the 'bond assignment is free' half of this row was wrong: assignment is a selection, not a grant. What IS free is activateGraduationBond / activateGraduationBonds in lib/education.mjs (+10% earnings per matching graduate, from lib/graduation-bonds.json). Deferred rather than guessed because the original's analogue unlocks bonds on an intimacy CONDITION rather than a purchase (HeroBond/HeroBondCondition), and choosing the Everkai threshold is a pacing call against date Energy that measurement cannot settle -- CLAUDE.md rule 10. RECOMMENDATION for the owner: gate it on the family member's existing relationship tier (f.relationship, 1-5) rather than inventing a currency; say which tier and it is a one-line change. | [NOT RE-VERIFIED] unknown: whether the original charges for these at all."
ECON-21,Economy,Systems open for free,"The original gates systems by CONDITION, not price","FREE — openFarm, openWorkshop, openInnService, apothecaryOpen (also gifts a starter potion), treasureStart, northStart, tradeBegin, openingStart","SystemUnlock.json unlockCondition (PlayerLevel, WifeCount, Stage), 197-201 rows",Flow,M,P2,6,Not started,"[NOT RE-VERIFIED] NOT NECESSARILY A DEFECT: the original gates on conditions rather than gold, so free-on-condition may be correct. openWorkshop and openInnService already require the PAID Building_301/Building_101. Decide per system."
ECON-22,Economy,buySupply prices only 3 of 84 artifacts,All purchasable supplies carry a price,"CLOSED. All 89 shipped artifacts carry a crystal price, read from their own artifact-rules row: price = 3 x that artifact's recorded upgrade ore. Range 30 (N, ore 10) to 210 (UR, ore 70).","lib/artifact-rules.json (records is a DICT of 89 keyed by id) -- the `ore` column, with the three already-shipped prices as the anchor",Numbers,S,P2,2,Fixed 2026-09-15,"[FIXED] lib/adventure.mjs artifactPrice. The three prices that already shipped were 30/60/90 crystals for the artifacts whose OWN rule rows carry ore 10/20/30 -- exactly 3x ore in all three cases -- so the curve is read back out of the same table rather than invented. Both halves of that ratio come from lib/artifact-rules.json (CLAUDE.md rule 1). Applied to expandedGear too, which had all 49 prices null. TRAP FOUND AND AVOIDED: LEGACY_ITEMS was spelled `ORIGINAL_GEAR.filter(g=>g.price!==null)` and validFamily counts it to fix the exact inventory key set a v5/v6 save may carry -- pricing the rest would silently have widened it from 3 items to 89 and made every real v5/v6 save fail to decode. It is now pinned to the three ids those saves shipped with, with a comment saying why. Guard: tests/artifact-prices.test.mjs (positive-controlled on the 89-record dict shape and on ore 10 for the club before asserting anything absent), negative-controlled twice -- reverting to the 3-item map fails with '86 artifacts still have no crystal price', and un-pinning LEGACY_ITEMS fails its deep-equal. tests/imported-equipment.test.mjs rebaselined: its premise was that an unpriced artifact exists, so it now asserts the surviving invariant (forging spends Ore and touches neither gold nor crystals) against a zero-crystal fixture. | [NOT RE-VERIFIED] "
ECON-23,Economy,hero_60 (Kamakura) has no price,Every shipped character is either priced or explicitly removed,"CLOSED. hero_60 (Kamakura) is in FREE_ROSTER at FREE_PRICE, so the counter offers him and summonRecruit hands him over. 259 of 259 are obtainable.",lib/public-roster.json (records is a DICT of 281 keyed by character id),Numbers,S,P1,2,Done,"[VERIFIED CLOSED 2026-09-15, this slice] Row was stale. lib/summon.mjs already lists hero_60 in FREE_ROSTER with FREE_PRICE {stoneFragments:0}, priced at zero rather than null on purpose (null is summonRecruit's 'no price recorded' refusal). Measured from a fresh save: recruitRarity('hero_60') is still null, recruitPrice returns {stoneFragments:0}, recruitOffers includes him, and act(s,'summonRecruit',...,'hero_60') succeeds and puts him in s.fellows. Cross-checked the source anyway: Hero.json _id 60 carries rarity 3, and the numeric->string map is unambiguous across the 165 ids that overlap lib/public-roster.json (1->N x5, 2->R x15, 3->SR x29, 5->UR x25, 6->UR* x2), so an SR price is available if the free-roster classification is ever revisited. OQ-06 can be closed with it. | [UNCHANGED] Re-verified 2026-09-12: lib/public-roster.json holds 281 records and hero_60 is not among them, so summonCost returns null. Still needs a recorded rarity or an explicit removal -- OQ-06."
ECON-24,Economy,Offline accrual cap MAX_AWAY_MS = 8h,unknown — parity with the original cap is not documented,"RESOLVED DURING THIS CYCLE. MAX_AWAY_MS is now 12 hours (lib/game.mjs:54), matching the original: System.json offlineMaxTime = 43200, and the private server clamps to the same figure (village.py OFFLINE_LIMIT = 43200). Time beyond the window is discarded, not banked.",unknown,unknown,S,P2,1,Done,"[RESOLVED] NOT a stale row: '8 hours, the original prototype value' was CORRECT when the sheet was generated. The constant changed in commit 5c937d9 at 19:33 on 2026-09-12, mid-refresh -- the code moved under the sheet. The old guard test could not have caught it: 'away earnings capped to eight hours' put MAX_AWAY_MS on both sides of the assertion, so it held for any value; it now pins 12h with a negative control. Parity is no longer unknown, so OQ-08 is answered. Consequence carried in ECON-26."
ECON-25,Economy,Faucets that cannot be deleted yet,Each is the only source of its resource — a source must be BUILT first,"Five faucets still fail the recovery test (zero recoverAt, zero day(), zero settle hook in their modules): claimStaffingMaterials (kept by owner decision), stageSupply, claimConsumable, specialBlessingSupply, refillInnStamina. claimOriginalSupplies is retired and stellaSupply is habit-gated.",docs/faucet-map.md,n/a,n/a,P0,n/a,In flight,"2026-09-15: claimOriginalSupplies retired (36d6f9d) with claimDailyBreach as its habit-gated source (fdfd589); stellaSupply habit-gated (e51f394). Still free: claimStaffingMaterials (kept by owner decision), stageSupply, claimConsumable, specialBlessingSupply, refillInnStamina. | [NOT RE-VERIFIED] ORDERING RULE: build the source, then delete the faucet. Deleting first strands content. Note ECON-02's verdict is now re-opened — the original does state a source for staffing materials. | 2026-09-15 TRIAGE: PREMISE STILL TRUE for 5 of the 7 listed, and the status column was stale for the other 2 - corrected. Re-ran the recovery test named in the row (zero recoverAt, zero day(), zero settle hook) against each module today: lib/staffing.mjs 0/0/0, lib/raphael-progress.mjs 0/0/0, lib/consumables.mjs 0/0/0, lib/special-blessings.mjs 0/0/0, lib/inn.mjs 0 recoverAt and 0 day() (its 3 settle hits are settleInn, which advances the serving queue only). So all five still-free faucets remain the sole source of their resource and the ORDERING RULE still binds. The two already handled are confirmed gone from the free list: claimOriginalSupplies is retired (lib/original-progression.mjs:35 comment, and the action allow-list at :37 now admits only originalQuality and claimDailyBreach), and lib/stella.mjs carries a habit gate. docs/faucet-map.md line 74 still groups all four of claimConsumable/stellaSupply/specialBlessingSupply/claimOriginalSupplies together and is stale on those same two."
BUG-01,Bugs,Town List view clips the longest notes,Rows size to their content,"5 of 18 notes are cut (Businesses, School, Village stories, Mine Clearance, Northern Odyssey). The row sits at 44px whatever its children need. Names and badges are fine.","app/globals.css, .town-list button",n/a,S,P2,1,Dropped 2026-09-15 - premise false,"PREMISE NO LONGER HOLDS. MEASURED 2026-09-15 in the running app at 375x812 (vite on :5231, JS in the page): all 18 town-list rows have scrollHeight === clientHeight (55px one-line, 65px two-line) and every .maturity-line has scrollHeight === clientHeight and scrollWidth === clientWidth. Zero clipped. Confirmed by eye in the same session. NEGATIVE CONTROL: injecting height:44px;overflow:hidden made all 18 report clipping and removing it returned 0, so the measurement can see the defect it reports as gone. The fix was already in app/globals.css (.town-list>button height:auto !important, min-height:52px, align-items:stretch) and the row was never closed. The prescribed fix -- stop reusing the shadcn Button -- proved unnecessary; the Button is still there. Stale ""known defect"" comment removed from globals.css and docs/backlog.md."
BUG-02,Bugs,No onboarding or tutorial,A scripted tutorial,"ABSENT everywhere in the codebase — only the 'START YOUR STORY' strip and the opening quest chain, which predates Recruit, the forge and stars",docs/playtest-guide.md is the cheap substitute,n/a,L,P3,6,Deferred,"[NOT RE-VERIFIED] DELIBERATELY DEFERRED: a scripted tutorial teaches a game whose systems are still moving, so it would be rewritten repeatedly. Build it once systems settle, informed by wherever play actually gets stuck."
BUG-03,Bugs,Offline bundle could be smaller,unknown,"Precache is 107.2 MB after streaming the 509 idle clips (was 613.6 MB). Streaming assets/humanized (41 MB), assets/wardrobe (40 MB) and assets/family-gallery (10 MB) too would reach roughly 16 MB.","scripts/offline-manifest.mjs, enforced by tests/offline-manifest.test.mjs",n/a,S,P3,6,Deferred,[NOT RE-VERIFIED] Offered and DECLINED 2026-09-12 as unnecessary; revisit if install problems recur. Standing constraint: keep the precache small or saving breaks on the phone.
BUG-04,Bugs,docs/parity-gaps.md is a dated snapshot that drifts,A record that matches the code,"Pinned at e9ef386 and already wrong in places — its section 12 Recruit row described the free roster that has since been replaced, and its Museum count says 32 where the data says 31",The live modules and lib/system-maturity.json,n/a,S,P1,1,"Fixed 2026-09-15 - retired, not regenerated","DECISION: deleted and replaced with a pointer, not regenerated. WHY: regenerating from this catalogue is impossible honestly -- the 12 columns carry no Depth verdict and no test list, the two fields the document was most read for, so a generator would have to invent them. Its Depth verdicts already duplicate lib/system-maturity.json (guarded by tests/system-maturity.test.mjs) and its gap bullets duplicate these rows. MEASURED WRONG 2026-09-15, three independent checks: (1) its cross-cutting finding 1 lists eleven free grants (claimBait, wishSupply, claimOre, specialBlessingSupply, claimOriginalSupplies, refillEducation, Farm ""Mature now"", Treasure refill, Northern supplies ...) and NONE of them still exists in lib/*.mjs; (2) its section 6 Depth says the fishing minigame odds/levels/crowns are missing and ""casts are deterministic round-robin"" - lib/fishing.mjs castOdds/drawFish roll FishLevel rarity weights, FISHING_LEVELS is the level curve, claimCrownKohaku ships a crown; (3) its fishing-data quote was stale (BUG-10). THE ROW ITSELF WAS PARTLY WRONG: it said ""Museum count says 32 where the data says 31"" - MEASURED, lib/museum-data.json holds 32 and import-museum.py:25 asserts 32, so the snapshot was right there. Old text remains in git at a5bdc44^."
BUG-05,Bugs,\~50 of 98 importers cannot run outside the workspace,Importers runnable from the repo's real location,"BROKEN. They resolve their source as parents[1].parent.parent, which from /Users/westmanfamily/everkai lands on /Users/ and fails with FileNotFoundError. Corrected 2026-09-12 — first logged as 'six importers' from a narrow grep; a full index put it at roughly 50 of 70-98.",docs/data-index.md Flag 1,n/a,M,P1,6,Fixed 2026-09-15,"RE-MEASURED, then fixed. The row said ""~50 of 98""; there are 77 importers, and 47 of them had a missing workspace source (statically resolving every path expression in scripts/*.py). FIX: scripts/_workspace.py resolves the trees once - $EVERKAI_WORKSPACE, then the known location (~/Documents/Codex/2026-09-07/referenced-chatgpt-conversation-this-is-an, MEASURED to hold both outputs/component-research/ and work/isekai-research/), then REPO.parents[1] - accepting a candidate only if it holds the trees, and otherwise exiting with a stated precondition naming every path it tried and saying explicitly not to invent the numbers. 53 importers rewritten to WORKSPACE/WORK by an AST rewriter (replaces only expressions resolving exactly to REPO.parents[1] or REPO.parent). AFTER: 0 missing, 55 resolve to files that exist. NEGATIVE CONTROL on the helper: with all three candidates pointed at absent paths it raises SystemExit with the full message. VERIFIED BY RUNNING NINE previously-unrunnable importers: the four verifiers pass (import-staffing re-checks 17 businesses / 57 bands / 442 quality rows against its source; plus medicine-recipes, critical-actives, five-actives), and five generators reproduce their shipped file (elixirs, trading-post, apothecary byte-identical; tonic and fountain byte-identical after apply-content-overrides.py, which is the standing rule and is exactly what it is for). Remaining preconditions are by design and documented: six APK-art importers need ~/Desktop/ISEKAI/*.apk, four sprite importers take a sha-pinned index on argv, and four (campaign-chapters, opening, opening-presentation, rank-ladder) address lib/ as Path('lib/...') so must run from the repo root. Records updated: docs/data-index.md Flag 1, docs/data-provenance.md ""Importer runnability""."
BUG-06,Bugs,28 of 98 lib/*.json have no producing importer,Every shipped table traceable to a source,"28 never written by any import-*.py. Five more are hand-maintained and merely VERIFIED by the script that appears to generate them (medicine-recipe-data, staffing-data, staffing-independent-data, familiar-crit-data, familiar-dot-data).",docs/data-index.md Flag 2,n/a,M,P2,6,"Fixed 2026-09-15 - recorded, counts corrected","BOTH HALVES OF THE ROW HAD DRIFTED. RE-MEASURED 2026-09-15 across 104 lib/*.json (not 98), matching every write idiom in scripts/ - write_text/write_bytes on a literal path AND on a path held in a variable, shutil.copyfile's destination, json.dump - with a positive control first: the check must find farm-data <- import-farm, museum-data <- import-museum, opening-data <- import-opening, default-talent-source <- import-default-talent (a copyfile), rank-ladder-data <- import-rank-ladder, special-blessing-data <- import-special-blessings. It does. A first version matching only .write_text missed the last two, which is how ""28"" was reached. MEASURED SPLIT: 77 written / 7 read-or-asserted-but-never-written / 20 untouched = 27 unwritten, not 28. operation-data gained a producer since Flag 2 was written; roster-batch-evidence lost its only reader when import-family-scenes was retired (BUG-07) and moves from ""importer input"" to ""untouched"". RECORDED: docs/data-provenance.md now carries a per-file table for all 20, naming the provenance each file itself holds and what reads it. 17 of 20 carry a source/provenance key (two of them PER ROW, not top level - item-art-evidence and roster-batch-evidence, the trap this doc warns about); the five verifier-guarded tables were all RUN and pass. Two carry no provenance of any kind and are named as needing one: source-character-index and workshop-policy-data. starter-habits stays flagged as the private 78-task list."
BUG-07,Bugs,import-family-scenes writes a file that does not exist,unknown,"It writes lib/family-scene-data.json, which is not on disk. Its handoff source and that source's backgrounds/manifest.json do not resolve.",docs/data-index.md Flag 3,n/a,S,P2,6,Fixed 2026-09-15 - importer retired; row premise partly false,"THE SECOND HALF OF THE PREMISE WAS FALSE. MEASURED 2026-09-15: the handoff at ~/Documents/Codex/2026-09-07/files-pasted-by-the-user-paste/outputs/roster-humanization IS present, and so are integration-manifest.json, backgrounds/manifest.json (25 backgrounds) and backgrounds/provenance/loaders.json. Every input resolved. The true answer is the third possibility the finding offered: the output was removed DELIBERATELY. SYSTEMS.md:84 records public/assets/family-scenes (1.6 MB) and lib/family-scene-data.json as retired because no playable character referenced the roster cutouts after the base renders shipped. MEASURED: public/assets/family-scenes/ does not exist and lib/family-scenes.mjs computes every scene from the equipped costume render or the base render with no data file. So the importer regenerated a retired asset into a deleted directory. RETIRED: scripts/import-family-scenes.py deleted. Its only repo input, lib/roster-batch-evidence.json, stays - tests/roster-batch.test.mjs, tests/content-overrides.test.mjs and lib/content-overrides.json still read it. docs/data-index.md Flag 3 rewritten with the correction."
BUG-08,Bugs,starter-habits.json must stay out of public repos,The 78-entry personal task JSON is private data,"78 rows under a tasks wrapper, no importer",docs/data-index.md,n/a,S,P0,n/a,In flight,[NOT RE-VERIFIED] 100% bar (privacy). Standing rule — keep it out of any public repo while preserving the import invariants.
BUG-09,Bugs,Museum keepsake count disagrees between records,One number,"FIXED 2026-09-15. The count is 32. lib/museum-data.json holds 32 unique ids, all hall Hall1, and tests/museum.test.mjs asserts it twice.",lib/museum.mjs,n/a,S,P2,6,Fixed 2026-09-15,"RE-MEASURED 2026-09-15 and the previous resolution was WRONG. This row said ""Settled at 31 ... lib/museum-data.json holds 31 records ... Only docs/parity-gaps.md still says 32"". The file holds 32 records with 32 distinct ids and no duplicates, docs/parity-gaps.md:300 (32) was the RECORD THAT WAS RIGHT, and this catalogue row plus lib/system-maturity.json:15 (""31 keepsakes; Hall 1 only"") were the records that were wrong. tests/museum.test.mjs already asserted KEEPSAKES.length===32 while this row claimed 31, so the catalogue disagreed with a green test. STILL OPEN AND OUT OF THIS SLICE'S EDIT BOUNDARY: lib/system-maturity.json:15 still says 31 and needs the one-word fix; this slice was scoped to lib/museum*, lib/treasure*, the two panels, tests and this file. E4-02's and ECON-12's own wording (""25 of 31"", ""all 31 keepsakes"") inherited the same wrong count. Guard: tests/museum.test.mjs asserts 32 records, 32 distinct ids and 32 Hall1 rows, negative-controlled by truncating the table to 31."
BUG-10,Bugs,fishing-data.json unimplemented list is stale,The record matches the code,"It still lists 'combinations' and 'other grounds', which later versions added. It is a stale policy-1 record.",lib/fishing.mjs,n/a,S,P3,4,Fixed 2026-09-15 - re-derived and guarded,"RE-DERIVED against lib/fishing.mjs, not copied forward. FIVE of the seven entries were stale, not two: catch probabilities (castOdds/drawFish roll FishLevel rarity weights per ground), other grounds (FISHING_GROUNDS/groundLevel gate casts by level), fishing level curves (FISHING_LEVELS/fishingLevel), combinations (FISH_COMBINATIONS/activateFishCombination) and crowns (claimCrownKohaku/crownKohaku) all ship. ABSENCE OF THE REST CHECKED WITH A POSITIVE CONTROL: grepping lib/ and app/ for ""combination"" returns five files, so the search works; for ""antique"" it returns only this file and two unrelated story tables, and for any length field only the stale line itself. New list: length ranges and rewards, antiques, crown effects beyond Gold Crown Kohaku, the 12 deferred normal combination effects, and the timed bait regeneration that the daily habit refill deliberately replaces. ALSO MEASURED: nothing in lib/, app/ or tests/ imported fishing-data.json - it is superseded by fishing-species.json (86 species, own deferred/limits), so the list could drift silently; the file now says so in a supersededBy key. GUARDED: new tests/fishing-record-drift.test.mjs asserts each capability is live FIRST (positive control) and then that the record does not still call it missing, plus that the list has not simply been emptied. NEGATIVE CONTROL: re-adding ""combinations"" fails the guard with the intended message."
BUG-11,Bugs,faucet-map.md scope and header date,An accurate record,"Header read 'Measured 2026-09-19', a date a week in the future (now corrected). More substantively it classifies by GRANT-SHAPED NAME, so it misses the opposite class — actions that should charge and do not.",docs/free-action-audit.md,n/a,S,P2,6,Fixed 2026-09-15 - re-measured; date and scope were already fixed,"THE TWO THINGS THE ROW NAMES WERE ALREADY DONE: the header reads ""Measured 2026-09-12"" and a Scope-limit block already names the charge-and-do-not class. RE-MEASURING found the file stale in five other ways, all now corrected in place. (1) It quotes 229 action strings; MEASURED 231 with the dispatch extractor. (2) Its head count (""thirty grant-shaped ... 16 still free"") contradicts its own section heading (""Still free (13)"") and neither is reproducible; MEASURED 24 grant-shaped actions live under claim|sandbox|supply|free|refill. (3) specialBlessingSupply and claimOriginalSupplies are listed as live ""blocked"" faucets but are RETIRED (lib/special-blessings.mjs:9, lib/original-progression.mjs:35, guarded by tests/retired-faucets.test.mjs). (4) The scope note cites finishFarm as a live time-skip; it is retired (lib/farm.mjs:55) and is not a lib action at all. (5) Two grant-shaped actions are named nowhere in the file and are now added with their gating: claimDailyBreach (habit-gated, once a day, the replacement for claimOriginalSupplies) and openingClaim (gated on openingRequirement(...).ready). All eleven converted/deleted grants the map claims are gone WERE VERIFIED gone by an extractor that returns all 231 live names."
